id,Premise,Hypothesis,perturbation_1_lexical,perturbation_2_syntactic,perturbation_3_pragmatic,gold_label,Explanation
732,Two women lay on their stomachs in the sun.,Two women are outside.,Two women are outdoors.,The two women are located outside.,Two women appear to be outside.,entailment,two women in the sun means women are outside
733,A group of children pointing at something unseen.,a group of children are pointing,A group of children are indicating.,Children in a group are pointing.,It seems that a group of children are pointing.,entailment,A children group is pointing at something.
734,Four females stand on the tip of their toes while practicing ballet in front of a black backdrop.,Four ballet dancers prepare for a photo.,Four ballerinas are getting ready for a picture.,Four ballet dancers are making preparations for a photo.,It seems that four ballet dancers are preparing for a photo.,neutral,Standing on their toes in front of a backdrop does not necessarily imply to prepare for a photo.
735,Men wearing hard hats and safety vests are working.,The men are construction workers.,The individuals are construction personnel.,The men work in construction.,The men appear to be construction workers.,neutral,Just because men are wearing hard hats and safety vests does not imply they are construction workers.
736,A man in a blue shirt is holding a construction hat.,A construction worker has just removed his hard hat.,A building site employee has recently taken off his safety helmet.,A construction worker just completed the removal of his hard hat.,A construction worker appears to have just removed his hard hat.,neutral,A man in a blue shirt has just removed his hard hat.
737,A man with facial hair works on some sort of stone sculpture.,A man is creating a statue for the city.,A man is crafting a sculpture for the city.,A statue for the city is being created by a man.,A man seems to be creating a statue for the city.,neutral,We didn't know he was working on a statue for the city.
738,A group of African Americans gather a street vendor.,A group of blacks are by a vendor,A collection of black individuals are next to a vendor.,"By a vendor, a group of blacks is located.",A group of blacks appears to be by a vendor.,entailment,A group of African Americans or blacks are next to a vendor.
739,two young children walking on a tiled floor,Two kids run down the street.,A couple of children sprint along the road.,"Down the street, two kids are running.","Apparently, two kids are running down the street.",contradiction,The children cannot be both walking on tiled floor and running down the street at the same time.
740,A girl in motion on snow-covered ground.,A boy lies in the warm desert sand,A boy rests in the warm desert sand.,"In the warm desert sand, a boy is lying.",A boy seems to be lying in the warm desert sand.,contradiction,A girl is not a boy and a snow-covered ground is the opposite of warm desert sand.
741,a smiling woman in a peach tank top stands holding a mountain bike,The woman is playing the piano in her living room.,The lady is performing on the piano within her living room.,The piano is being played by the woman in her living room.,It seems that the woman is playing the piano in her living room.,contradiction,The woman is either playing piano or holding a mountain bike.
742,A man is working on the coal car of a train.,He is shoveling coal,He is scooping fuel.,Coal is being shoveled by him.,He appears to be shoveling coal.,entailment,""" He "" is the pronoun used when referring to a human man."
743,Dark nightclub with chairs.,There is a dark nightclub.,There is a dim nightclub.,A dark nightclub exists.,It appears that there is a dark nightclub.,entailment,The two statements refer to the same dark nightclub
744,There is a family sitting outside in the shade.,Family sitting outside under a tree.,A family is seated outdoors beneath a tree.,"Under a tree, a family is sitting outside.",A family appears to be sitting outside under a tree.,entailment,A family sitting in the shade must be under a tree.
745,A bald man with glasses is cutting into a turkey on the dinner table.,A person preparing meat to eat at a meal.,An individual getting ready meat for consumption at a meal.,Meat is being prepared by a person for eating at a meal.,It appears that a person is preparing meat to eat at a meal.,entailment,"A person is a man who is preparing meat. A turkey is meat, therefore cutting into a turkey would be preparing meat."
746,Two men fight in a ring while spectators look on.,Two men fight.,Two men struggle.,A fight involves two men.,It appears that two men fight.,entailment,Two men fight is the same as two men fight.
